Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 631, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 690, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 690, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 690, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 690, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 690, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 722, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 722, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 722, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 722, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 722, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 722, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 723, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 723, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 723, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 723, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 723, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 723, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 728, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 728, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 728, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 728, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 728, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 728, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 738, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 738, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 738, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 738, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 738, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 738, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 740, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 740, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 740, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 740, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 740, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 740, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 744, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 744, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 744, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 744, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 744, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 744, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 745, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 745, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 745, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 745, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 745, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 745, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 756, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 756, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 756, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 756, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 756, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 756, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 759, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 759, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 759, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 759, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 759, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 759, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 767, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 767, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 767, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 767, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 767, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 767, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 774, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 774, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 774, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 774, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 774, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 774, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 788, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 788, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 788, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 788, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 788, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 788, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 791, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 791, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 791, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 791, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 791, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 791, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 548, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 548, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 548, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 548, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 548, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 548, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 550, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 550, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 550, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 550, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 550, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 553, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 553, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 553, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 553, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 569, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 569, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 569, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 569, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 569, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 582, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 582, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 582, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 582, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 582, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 582, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 584, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 584, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 584, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 605, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 605, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 605, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 607, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 607, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 607, Author: EN, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 607, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 607, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 607, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 613, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 613, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 613, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 613, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 617, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 617, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 617, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 629, Author: ADZ, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 629, Author: CM, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 629, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 629, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 629, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 556, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 556, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 570, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 572, Author: GA, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 572, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 572, Author: ML, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 603, Author: LF, Value: 1
Macro-etichetta: materiali/strumenti fisici -- pc/tablet, ID: 603, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 631, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 631, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 631, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 631, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 631, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 631, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 636, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 636, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 636, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 636, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 636, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 636, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 646, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 646, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 646, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 646, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 646, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 646, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 654, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 654, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 654, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 654, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 654, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 654, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 658, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 658, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 658, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 658, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 658, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 658, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 659, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 659, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 659, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 659, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 659, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 659, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 662, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 662, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 662, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 662, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 662, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 662, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 680, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 680, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 680, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 680, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 680, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 680, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 682, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 682, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 682, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 682, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 682, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 682, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 688, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 688, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 688, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 688, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 688, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 688, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 722, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 722, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 722, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 722, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 722, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 722, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 728, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 728, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 728, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 728, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 728, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 728, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 738, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 738, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 738, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 738, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 738, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 738, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 740, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 740, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 740, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 740, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 740, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 740, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 744, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 744, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 744, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 744, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 744, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 744, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 745, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 745, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 745, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 745, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 745, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 745, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 756, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 756, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 756, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 756, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 756, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 756, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 759, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 759, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 759, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 759, Author: GA, Value: 1
Macro-etichetta: attività -- programmazione, ID: 759, Author: LF, Value: 1
Macro-etichetta: attività -- programmazione, ID: 759, Author: ML, Value: 1
Macro-etichetta: attività -- programmazione, ID: 766, Author: ADZ, Value: 1
Macro-etichetta: attività -- programmazione, ID: 766, Author: CM, Value: 1
Macro-etichetta: attività -- programmazione, ID: 766, Author: EN, Value: 1
Macro-etichetta: attività -- programmazione, ID: 766, Author: GA, Value: 1
